context/aspect	opinion/argument	reason/factoid	preference	direct	method	super	question
0	1	0	1	0	0	0	какую резину поставить на mitsubishi pajero sport
0	0	1	0	1	0	0	чем политические автономии отличаются от административных
0	1	0	1	1	0	0	что лучше ss20 или plaza
1	1	0	1	1	0	0	что важнее-национальность человека или его гражданство
0	0	1	0	1	0	0	как соотносятся историческое бытие и историческое значение
0	1	0	1	0	0	0	какой планшет лучше купить
0	1	0	1	0	0	0	куда лучше поехать отдыхать
0	1	0	1	0	0	0	куда лучше поехать рыбачить
0	0	1	0	1	0	0	чем отличается кефир от биокефира
1	0	1	1	1	0	0	что дешевле дизель или бензин
1	1	0	0	1	0	0	как управлялось древнерусское государство при ярославе мудром какие изменения произошли в управлении страной по сравнению с предшествующим периодом
0	1	0	1	0	0	0	в какое время года лучше отдыхать в израиле
0	0	1	0	1	0	0	чем отличается кижуч от горбуши
0	1	0	2	1	0	0	чем блю рей лучше двд
1	0	1	1	1	0	0	как правильно ламборджини или ламборгини
0	0	1	0	1	0	0	чем android отличается от windows
1	1	1	2	1	0	0	почему летом теплее чем зимой
1	1	0	1	1	0	0	где лучше в июле в египте или турции
1	1	0	1	0	0	1	какие самые громкие наушники
1	0	1	1	1	0	0	кто умнее женщины или мужчины и почему
0	1	0	1	0	0	0	какой ноутбук лучше купить
0	1	0	1	0	0	0	какой аккумулятор лучше для оки
1	0	1	1	1	0	0	как правильно вектора или векторы
1	1	0	1	1	0	0	что важнее: личность или государство?
0	1	0	1	0	0	0	чем лучше штукатурить стены
1	1	0	1	0	0	0	где лучше купить электронные сигареты
1	0	1	1	1	0	0	какой воздух легче сухой или влажный
0	1	0	1	0	0	0	какую тюль лучше выбрать
0	1	0	1	1	0	0	что лучше роутер или модем
1	0	1	1	1	0	0	какое из понятий шире риторика или культура речи почему
0	0	1	0	1	0	0	чем отличается целевой капитал от целевых средств
0	1	0	1	0	0	1	какие фильмы самые страшные ужасы
1	1	0	1	1	0	0	какой ток опасней переменный или постоянный
0	0	1	0	1	0	0	чем портфель отличается от папки
1	1	1	0	1	0	0	чем объяснить специфику социологии в сравнении с естественными и техническими науками
0	1	0	0	1	0	0	чем отличается патриот от гражданина
1	1	0	1	0	0	0	какой телефон лучше купить в 2012 году
0	1	0	1	1	0	0	какая карта лучше visa или mastercard
1	1	0	1	0	0	0	какие гардины выбрать в зал
1	1	1	2	1	0	0	почему у верблюжьей колючки корни длиннее чем у дуба
0	1	0	1	0	1	0	электрорубанок как выбрать
1	0	1	1	1	0	0	какие факторы эволюции человека возникли раньше биологические или социальные
0	0	1	0	1	0	0	чем отличается пенопласт и пенополистирол
0	1	0	1	0	0	0	какой лучше взять принтер
1	0	1	1	1	0	0	что было раньше правление хаммурапи в вавилонии или тутмоса в египте
0	1	0	1	1	0	0	что лучше пропан или метан
0	1	0	1	0	1	0	металлоискатель как выбрать
0	1	0	1	1	0	0	кто лучше месси или аршавин
0	0	0	1	0	0	0	какой телевизор филипс лучше купить
0	1	0	1	1	0	0	что лучше жк или плазма
1	1	0	1	0	0	0	куда лучше поехать в июне с ребенком
0	1	0	1	1	0	0	что выбрать iphone или ipod
1	1	0	2	1	0	0	почему у современного человека подбородок более острый чем у предков
0	1	0	1	1	0	0	какой планшет лучше самсунг или apple
0	1	0	1	1	0	0	кого лучше завести кота или кошку
1	0	1	0	1	0	0	на сколько часов раньше наступает утро в москве по сравнению с лондоном
1	1	0	1	1	0	0	какой звонок страшнее японский или американский
0	1	0	1	0	0	1	на кого лучше всего идти учится
0	0	1	0	1	0	0	в чем отличие слияния от присоединения
1	0	1	0	1	0	0	сколько разница во времени между москвой и тюменью
0	1	0	1	1	0	0	что выбрать мультиварку или пароварку
0	1	0	1	1	0	0	что лучше тотал или шел
1	1	0	1	1	0	0	что раньше появилось яйцо или курица
0	1	0	1	0	0	1	кого любишь больше всех
0	1	0	0	1	0	0	что общего у карандаша и ботинка
1	0	1	0	1	0	0	какая особенность размножения птиц отличает их от пресмыкающихся
0	1	0	1	1	0	0	что лучше amd fx6300 или intel core i3 3220
0	1	0	1	1	0	0	что купить на зиму пуховик или пальто
0	1	0	0	0	1	0	как отличить подлинный паркер
0	1	0	1	0	1	0	как выбрать фитнес тренера
0	1	0	0	1	0	0	какая разница между айпадом и планшетником
1	1	0	2	1	0	0	какой признак отличает демократический политический режим
1	0	1	0	1	0	0	чем отличаются астероиды и кометы
0	1	0	1	1	0	0	что лучше ipad 2 или ipad 3
1	0	1	1	1	0	0	как правильно возбуждено или возбуждено
0	0	1	0	1	0	0	чем отличается цикламен европейский от персидского
1	1	0	1	0	0	0	в каком районе неаполя лучше остановиться
0	1	0	1	0	1	0	как выбрать пиджак
0	1	0	1	0	0	1	какая смесь самая лучшая
0	1	0	2	1	0	0	чем собаки лучше кошек
0	1	0	1	1	0	0	что лучше samsung galaxy s2 или htc sensation
0	1	0	1	1	0	0	что лучше psp или планшет
1	0	1	1	1	0	0	какой город находится выше над уровнем моря тегеран или дели
0	1	0	1	1	0	0	какой двигатель лучше бензиновый или дизельный
0	1	0	1	0	0	1	какой самый лучший фаервол
0	1	0	1	0	0	0	куда пойти на новый год в новокузнецке
0	1	0	1	0	0	0	какой счёт лучше открыть
0	0	1	0	1	0	0	чем отличаются векторная графика от растровой
0	1	1	0	1	0	0	как отличить оригинал от подделки
0	0	1	0	1	0	0	что не относится к преимуществам эффективной деятельности тнк по сравнению с компаниями, действующими лишь в одной стране?
1	1	0	1	0	0	1	какой рынок самый большой, ликвидный, понятный
0	1	0	2	1	0	0	чем нефть лучше угля
0	0	1	1	1	0	0	что дороже брус или оцилиндрованное бревно
1	1	0	2	1	0	0	почему за час неподвижного стояния устаешь больше чем за час прогулки
0	1	0	1	0	0	0	какая солярка лучше в россии
0	0	1	0	1	0	0	чем отличается рентген от мрт
0	1	0	1	0	0	1	какая самая лучшая игра в мире
1	0	1	1	0	0	1	у какого ролика на ютубе больше всего просмотров
0	1	0	0	1	0	0	чем отличается обычный человек от нормального
0	0	1	0	1	0	0	чем отличается сложное предложение от простого
1	0	1	1	0	0	1	у какой сборной лучшая разница забитых и пропущенных мячей в финальных частях чемпионатов европы
0	1	0	1	1	0	0	какой ресивер лучше ямаха или пионер
1	1	0	1	0	0	1	какие бренды самые популярные на земле
0	1	0	1	0	0	0	что лучше для аудиокниг
0	0	1	0	1	0	0	чем отличается ипотека от жилищного кредита
0	0	1	0	1	0	0	что такое чётность и нечётность функции
1	1	0	1	0	0	0	в каком месяце лучше покупать дыни
0	0	0	0	0	0	1	что ждёт россию в ближайшем будущем
0	1	0	1	1	0	0	какие шины лучше  dunlop sp winter ice 01 или  nokian nordman 4
1	0	1	0	1	1	0	как отличить iphone 4 американский от европейского
0	1	0	1	0	0	0	какая спираль лучше отзывы
0	0	1	0	1	0	0	чем х32 отличается от х64
0	1	0	0	0	1	0	как определить настоящий iphone 5
1	0	1	1	1	0	0	как правильно свитеры или свитера
0	1	0	1	0	0	0	какая фирма компьютеров лучше
0	0	0	0	0	0	1	где существовала лучшая форма правления по мнению полибия
0	1	0	1	0	0	0	какой фотопринтер лучше лазерный или струйный
0	1	0	1	1	0	0	где лучше на гоа или тайланд
0	0	1	0	1	0	0	чем отличается сзв 6 1 от сзв 6 2
0	1	0	1	1	0	0	кто лучше варк или пп
1	1	0	1	0	0	0	где лучше устанавливать гбо
0	1	0	0	1	1	0	как определить гея по пальцам
0	0	1	0	1	0	0	что общего валентность и степень окисления
0	1	0	1	1	0	0	что выбрать 3306 или 4301
1	1	0	0	1	0	0	что легче кг пуха или кг железа
0	1	0	1	1	0	0	какой андроид лучше 23 или 40
1	0	1	0	1	0	0	какие корневые системы развиваются у однодольных растений и какие у двудольных
1	1	0	1	1	0	0	кто больше разговаривает мужчины или женщины
0	1	0	1	0	0	0	какое кабельное лучше подключить
0	1	0	0	1	1	0	как отличить хомяка мальчика от девочки
0	0	1	2	1	0	0	в чем преимущество полового размножения от бесполого
0	1	0	1	1	0	0	что лучше старый японец или новый китаец
0	1	0	1	0	0	0	на каком аппарате лучше делать фотоэпиляцию
0	1	0	0	1	0	0	чем мужская любовь отличается от женской
1	0	1	1	0	0	1	в каких продуктах больше всего витамина в
1	0	1	1	1	0	0	какое масло жиже 5w30 или 5w40
0	0	0	0	1	1	1	как отличить кролика от зайца
1	1	0	2	1	0	0	каковы сильные  стороны теории дальнодействия по сравнению с теорией близкодействия
0	1	0	1	0	0	0	какая краска лучше закрашивает седину
0	0	1	0	1	0	0	чем отличается среднесписочная численность от численности
0	1	0	1	0	0	0	какие антивирусные программы лучше
0	0	1	0	1	0	0	чем отличается гипс от алебастра
0	1	0	1	0	0	0	какой симс 3 лучше?
1	0	1	0	1	0	0	какие особенности строения клетки хламидомонады отличают её от типичной растительной клетки
1	1	0	1	0	0	0	какой бег лучше для похудения
0	1	0	1	0	0	0	куда лучше эмигрировать
0	1	0	1	0	0	0	какую лучше купить спутниковую антенну
1	1	1	1	0	0	1	какой зверь самый сильный
0	1	0	1	0	1	0	как выбрать вагонку
0	1	0	1	1	0	0	что лучше получать подарки или дарить
0	1	0	1	1	0	0	что лучше iphone 4s или samsung galaxy s2
0	1	0	0	1	1	0	как отличить изумруд от подделки
1	1	0	1	0	0	0	какую программу лучше использовать для монтажа видео
0	1	1	1	1	0	0	что лучше колоноскопия или ирригоскопия
0	1	0	1	1	0	0	что лучше новый авео или киа рио
1	0	1	1	1	0	0	как правильно писать дверями или дверьми
1	1	0	1	0	0	1	в каком банке выгоднее всего взять автокредит
1	1	1	0	1	0	0	по каким признакам различаются представители двух подцарств одноклеточные и многоклеточные
1	1	0	2	1	0	0	в чем нравственное превосходство мери над печориным
0	1	0	0	1	0	0	в чем разница между понятиями сведения и информация
0	1	0	1	1	0	0	какой профиль лучше kbe или rehau
0	0	1	0	1	1	0	как определить рыбу самка или самец
1	1	0	1	1	0	0	что лучше xbox 360 или ps3
0	0	0	0	0	0	0	какая связь дешевле в египте
1	1	0	1	0	0	0	когда лучше собирать мочу для анализа
0	1	0	1	1	0	0	что лучше ханса или занусси
0	1	0	1	0	0	0	какой марки купить автонавигатор
1	1	0	0	1	0	0	как изменилось административно территориальное деление в советском союзе по сравнению с российской империей
0	1	0	1	1	0	0	что выбрать беговую дорожку или велотренажер
0	0	1	0	1	0	0	чем гэсн отличается от фер
0	1	0	1	1	0	0	что лучше lcd или led
1	0	1	1	1	0	0	где в зоне ледяных пустынь теплее надо льдом или подо льдом
0	1	0	1	0	0	0	куда лучше направить накопительную часть пенсии
0	0	1	0	1	0	0	чем сигнальный фактор отличается от других абиотических факторов среды
1	1	0	1	0	0	0	какими товарами выгодней торговать
0	1	0	1	1	0	0	что лучше mint 13 или ubuntu
0	1	0	1	0	0	0	за какого мага лучше играть в lineage 2
1	0	1	1	1	0	0	у какого элемента ярче выражены окислительные свойства у йода или брома
